ticker,symbol,future,expiry,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 18:00:00,1760551200,610520.0,611040.0,605900.0,610300.0,1911,20,13542
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 09:00:00,1760605200,610780.0,614300.0,609940.0,610420.0,7399,20,31329
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 09:30:00,1760607000,610440.0,612720.0,609660.0,611480.0,7727,20,32735
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 10:00:00,1760608800,611480.0,611480.0,607600.0,609800.0,9398,20,42672
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 10:30:00,1760610600,609780.0,611640.0,605720.0,607020.0,12096,20,65251
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 11:00:00,1760612400,607000.0,607560.0,599960.0,603060.0,13524,20,86270
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 11:30:00,1760614200,603300.0,608800.0,602520.0,603740.0,10896,20,70408
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 12:00:00,1760616000,603800.0,604780.0,600660.0,601680.0,7658,20,47181
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 12:30:00,1760617800,601640.0,602800.0,592700.0,594140.0,13433,20,95233
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 13:00:00,1760619600,593960.0,595480.0,590700.0,592420.0,10607,20,66616
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 13:30:00,1760621400,592220.0,598560.0,590300.0,598300.0,9630,20,68170
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 14:00:00,1760623200,598360.0,598520.0,593700.0,596200.0,9793,20,65283
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 14:30:00,1760625000,596160.0,597060.0,593460.0,593760.0,5305,20,37005
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 15:00:00,1760626800,593720.0,593800.0,590880.0,592380.0,7610,20,52580
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 15:30:00,1760628600,592320.0,595920.0,591860.0,595760.0,5315,20,38034
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 16:00:00,1760630400,595800.0,596520.0,590860.0,592180.0,6703,20,42918
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 16:30:00,1760632200,592280.0,595280.0,590740.0,593160.0,8385,20,47926
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 17:00:00,1760634000,593140.0,594380.0,590640.0,591800.0,3908,20,24394
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 17:30:00,1760635800,591880.0,592260.0,588880.0,591500.0,4678,20,23332
BIT,BITV25,V25,2025-11-01,M30,2025-10-16 18:00:00,1760637600,591360.0,594080.0,590000.0,592820.0,1955,20,14237
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 09:00:00,1760691600,579500.0,580380.0,577520.0,578060.0,8030,20,35671
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 09:30:00,1760693400,578040.0,579340.0,576400.0,577540.0,6700,20,30906
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 10:00:00,1760695200,577600.0,579820.0,575700.0,579060.0,8786,20,52557
